Learned,Tested
0,0
1,1
2,2
3,4
4,5
5,10
6,11
7,12
10,13
11,14
12,15
13,18
14,20
15,21
16,22
17,23
18,24
20,25
21,26
22,27
23,30
24,31
25,33
26,36
27,37
28,39
29,41
30,42
31,43
32,44
33,45
34,46
36,47
37,49
38,50
39,51
41,52
42,53
43,54
44,55
45,56
46,59
47,61
48,62
49,63
50,64
51,65
52,66
53,67
54,68
55,69
56,73
57,74
58,75
59,76
61,78
62,85
63,86
64,87
65,88
66,98
67,99
68,176
72,1000
73,1001
74,1002
75,1003
76,1006
77,1007
83,1010
84,1012
85,1013
86,1014
87,1015
88,1016
89,1017
94,1019
96,1020
97,1021
98,1022
99,1023
176,1025
1000,1027
1001,1030
1002,1031
1003,1032
1005,1033
1007,1034
1010,1035
1011,1036
1012,1038
1013,1039
1014,1040
1015,1043
1017,1044
1018,1046
1019,1047
1020,1048
1021,1049
1022,1052
1023,1054
1024,1055
1025,1058
1026,1059
1027,1060
1030,1062
1031,1063
1032,1064
1033,1065
1034,1066
1035,1067
1036,1068
1038,1072
1039,1073
1040,1074
1041,1075
1042,1076
1043,1077
1044,1078
1045,1082
1046,1084
1047,1085
1048,1086
1049,1087
1050,1088
1051,1094
1052,1096
1053,1097
1054,1098
1055,1099
1056,2000
1058,2001
1059,2005
1060,2010
1061,2011
1062,2013
1063,2014
1064,2015
1065,2016
1066,2018
1067,2020
1068,2021
1069,2022
1070,2025
1071,2026
1073,2027
1074,2028
1075,2029
1076,2030
1077,2031
1078,2032
1082,2033
1083,2034
1084,2036
1085,2037
1086,2038
1087,2039
1088,2042
1089,2043
1094,2044
1095,2045
1096,2046
1097,2047
1098,2048
1099,2049
2000,2051
2001,2052
2002,2053
2004,2054
2005,2056
2007,2057
2010,2058
2011,2059
2012,2060
2013,2061
2014,2062
2015,2063
2016,2065
2017,2066
2018,2068
2020,2069
2021,2070
2022,2071
2023,2072
2024,2073
2025,2074
2026,2075
2027,2076
2028,2077
2029,2078
2030,2081
2031,2083
2032,2084
2033,2085
2034,2086
2036,2087
2037,2088
2038,2089
2039,2094
2040,2095
2041,2096
2042,2097
2043,2098
2044,2099
2045,0
2046,0
2047,0
2048,0
2049,0
2050,0
2051,0
2052,0
2053,0
2054,0
2055,0
2056,0
2057,0
2058,0
2059,0
2060,0
2061,0
2062,0
2063,0
2064,0
2065,0
2066,0
2067,0
2068,0
2069,0
2070,0
2072,0
2074,0
2075,0
2076,0
2077,0
2078,0
2081,0
2082,0
2084,0
2085,0
2086,0
2087,0
2088,0
2094,0
2095,0
2096,0
2097,0
2098,0
2099,0
